OBJECTID,CUSTOMER_I,POSTAL_ARE,FULL_POSTA,REC_TYPE,GEO_LEVEL,NT_CITY,COUNTY,STATE,DISPLAY_LI,ROUTING_LI,DISPLAY_LA,DISPLAY_LO,ROUTING_LA,ROUTING_LO,HOUSE_NUMB,BUILDING_N,STREET_NAM,TMO_STREET,HDB,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,is_outlier,Longitude,Latitude,Distance to Nearest POI (m),Distance to Nearest Street (m),Number of POIs within 500m,Distance to Area Centroid (m),z_score_outlier,iqr_outlier,dbscan_outlier,lof_outlier,cluster,Anomaly Score (%),Confidence in Classification,POI Classification,Reasons for Classification
93627,221478.0,,548394.0,S,9.0,SINGAPORE,SINGAPORE,,116156681.0,116156681.0,1.35901,103.87796,1.35883,103.87787,10B,,JANSEN RD,JANSEN RD,N,2045,0.001391,103.8785,1.35759,False,103.87787,1.35883,0.000184,0.000298,2999,0.03564,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
10158,222242.0,,568245.0,S,8.0,SINGAPORE,SINGAPORE,,116136048.0,116136048.0,1.37099,103.83308,1.37095,103.83308,1,SHANGRI LA PARK,SHANGRI-LA CLOS,SHANGRI-LA CLOS,N,5836,0.002913,103.83395,1.36817,False,103.83308,1.37095,0.000291,0.001428,2999,0.035849,False,False,False,False,5,0.00%,Low,CORRECT,Normal spatial pattern
42004,167698.0,,259715.0,S,8.0,SINGAPORE,SINGAPORE,,781735389.0,781735389.0,1.31774,103.83239,1.31819,103.83254,327,FERRELL RESIDENCES,BUKIT TIMAH RD,BUKIT TIMAH RD,N,1638,0.002487,103.8337,1.31599,False,103.83254,1.31819,0.000202,0.001266,2999,0.025927,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
61413,152897.0,,398743.0,S,8.0,SINGAPORE,SINGAPORE,,917074571.0,917074571.0,1.31182,103.88149,1.31181,103.88129,25,,LOR 20 GEYLANG,LOR 20 GEYLANG,N,4968,0.0004,103.8813,1.31221,False,103.88129,1.31181,0.000431,0.001172,2999,0.042321,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
47889,138913.0,,126887.0,S,8.0,SINGAPORE,SINGAPORE,,864482195.0,864482195.0,1.29287,103.76278,1.29259,103.76344,52,MPA SINGAPORE,WEST COAST FERRY RD,WEST COAST FERRY RD,N,2149,0.003468,103.7657,1.29522,True,103.76344,1.29259,0.003377,0.001146,2999,0.096731,False,True,False,True,7,45.00%,Medium,INCORRECT,Normal spatial pattern
118678,227653.0,,547274.0,S,9.0,SINGAPORE,SINGAPORE,,941155407.0,941155407.0,1.36414,103.8795,1.36424,103.8795,25B,,PARRY AVE,PARRY AVE,N,-1,-1.0,-1.0,-1.0,False,103.8795,1.36424,0.000601,0.001469,2999,0.040208,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
124408,140077.0,,427590.0,S,0.0,SINGAPORE,SINGAPORE,,932271590.0,932271590.0,1.30888,103.90283,1.30886,103.90281,337C,,JOO CHIAT RD,JOO CHIAT RD,N,925,8.1e-05,103.9028,1.30894,False,103.90281,1.30886,0.000158,0.00049,2999,0.061895,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
38714,231621.0,,808211.0,S,8.0,SINGAPORE,SINGAPORE,,753767815.0,753767815.0,1.38157,103.86132,1.38168,103.86122,21,LILAC PARK,LILAC DR,LILAC DR,N,1843,0.001139,103.8618,1.38266,False,103.86122,1.38168,1.4e-05,0.000801,2999,0.04491,False,False,False,False,5,0.00%,Low,CORRECT,Normal spatial pattern
34571,220036.0,,558275.0,S,8.0,SINGAPORE,SINGAPORE,,116161328.0,116161328.0,1.36042,103.86457,1.36031,103.86473,31,GARDEN VIEW ESTATE,CONWAY CIR,CONWAY CIR,N,2723,0.003897,103.8684,1.359,False,103.86473,1.36031,0.001374,0.000734,2999,0.027089,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
66210,231370.0,,518546.0,S,8.0,SINGAPORE,SINGAPORE,,925002340.0,925002340.0,1.38146,103.94586,1.38145,103.94582,30,PASIR RIS BEACH PARK,PASIR RIS WAY,PASIR RIS WAY,N,4931,0.000967,103.9463,1.38229,False,103.94582,1.38145,0.001354,0.00021,2999,0.10631,False,False,False,False,12,0.00%,Low,CORRECT,Normal spatial pattern
